Economics-230021010708	Coop-230021057385	Economics-230021010719	Coop-230021057395	Physics-230021030501	Coop-230021057405
Economics-230021010709	Coop-230021057386	Economics-230021010720	Coop-230021057396	Physics-230021030502	Coop-230021057406
Economics-230021010710	Coop-230021057387	Economics-230021010721	Coop-230021057397	Physics-230021030503	Coop-230021057407
Economics-230021010711	Coop-230021057388	Economics-230021010722	Coop-230021057398	Physics-230021030505	Coop-230021057408
Economics-230021010712	Coop-230021057389	Economics-230021010668	Coop-230021057399	Physics-230021030506	Coop-230021057409
Economics-230021010713	Coop-230021057390	Economics-230021010718	Coop-230021057400	Physics-230021030507	Coop-230021057410
Economics-230021010714	Coop-230021057391	Physics-230021030497	Coop-230021057401	Physics-230021030508	Coop-230021057411
Economics-230021010715	Coop-230021057392	Physics-230021030498	Coop-230021057402	Physics-230021030509	Coop-230021057412
Economics-230021010716	Coop-230021057393	Physics-230021030499	Coop-230021057403	Physics-230021030510	Coop-230021057413
Economics-230021010717	Coop-230021057394	Physics-230021030500	Coop-230021057404	Physics-230021030511	Coop-230021057414
